Edad,Grupo,Semanas,Hermanos,Compra,Genero_Alumno_Femenino,Genero_Alumno_Masculino,Paquete_Alimento,Paquete_Desconocido,Paquete_Normal,Genero_Tutor_Desconocido,Genero_Tutor_Femenino,Genero_Tutor_Masculino,Municipio_Aguascalientes,Municipio_Desconocido,Municipio_Jesus María,Municipio_Morelia,Municipio_San_Pedro_Garza_García,Municipio_jesus María,Escuela_Desconocido,Escuela_Entorno,Escuela_Nuevos Horizontes
4.0,1.0,3.0,0,Si,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0
9.690721649484535,1.865979381443299,3.0,0,No,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0
12.0,3.0,3.0,1,Si,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0
8.0,1.0,3.0,0,Si,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0
9.690721649484535,1.865979381443299,3.0,0,No,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0
9.690721649484535,1.865979381443299,3.0,0,No,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0
14.0,3.0,3.0,0,Si,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0
12.0,3.0,3.0,0,Si,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0
13.0,3.0,2.0,3,Si,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0
7.0,1.0,3.0,0,Si,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0
9.690721649484535,1.865979381443299,3.0,0,No,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0
9.690721649484535,1.865979381443299,3.0,0,No,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0
7.0,1.0,3.0,0,Si,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0
9.690721649484535,1.865979381443299,3.0,0,No,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0
9.690721649484535,1.865979381443299,3.0,0,No,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0
5.0,1.0,3.0,2,Si,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0
7.0,1.0,3.0,2,Si,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0
8.0,1.0,3.0,2,Si,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0
11.0,2.0,3.0,0,Si,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0
9.690721649484535,1.865979381443299,3.0,0,No,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0
7.0,1.0,3.0,0,Si,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0
8.0,1.0,3.0,0,Si,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0
9.0,2.0,3.0,0,Si,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0
13.0,3.0,3.0,1,Si,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0
10.0,2.0,3.0,1,Si,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0
8.0,1.0,3.0,0,Si,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0
10.0,2.0,3.0,0,Si,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0
7.0,1.0,3.0,0,Si,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0
8.0,1.0,3.0,0,Si,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0
13.0,3.0,3.0,0,Si,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0
9.690721649484535,1.865979381443299,3.0,1,No,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0
12.0,3.0,3.0,1,Si,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0
10.0,2.0,3.0,0,Si,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0
13.0,3.0,3.0,1,Si,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0
10.0,2.0,3.0,1,Si,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0
9.690721649484535,1.865979381443299,3.0,1,No,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0
9.690721649484535,1.865979381443299,3.0,0,No,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0
7.0,1.0,3.0,1,Si,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0
12.0,3.0,3.0,0,No,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0
11.0,2.0,3.0,0,Si,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0
11.0,2.0,2.0,1,Si,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0
9.690721649484535,1.865979381443299,3.0,0,Si,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0
12.0,3.0,3.0,0,Si,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0
9.690721649484535,1.865979381443299,3.0,0,No,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0
11.0,2.0,3.0,3,Si,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0
9.0,2.0,3.0,3,Si,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0
9.0,2.0,3.0,3,Si,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0
6.0,1.0,3.0,1,Si,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0
6.0,1.0,3.0,1,Si,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0
10.0,2.0,2.0,1,Si,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0
9.690721649484535,1.865979381443299,2.0,2,No,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0
9.0,2.0,1.0,2,Si,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0
9.690721649484535,1.865979381443299,1.0,2,No,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0
10.0,2.0,1.0,0,Si,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0
8.0,1.0,3.0,0,Si,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0
9.690721649484535,1.865979381443299,3.0,1,Si,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0
9.690721649484535,1.865979381443299,3.0,1,Si,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0
12.0,3.0,3.0,1,Si,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0
9.0,2.0,3.0,1,Si,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0
8.0,1.0,1.0,1,Si,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0
6.0,1.0,1.0,1,Si,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0
8.0,1.0,3.0,0,Si,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0
9.690721649484535,1.865979381443299,3.0,0,Si,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0
11.0,2.0,1.0,0,Si,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0
8.0,1.0,3.0,0,Si,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0
9.690721649484535,1.865979381443299,3.0,2,Si,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0
9.690721649484535,1.865979381443299,3.0,2,Si,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0
9.690721649484535,1.865979381443299,3.0,2,Si,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0
9.0,2.0,3.0,0,Si,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0
9.690721649484535,1.865979381443299,3.0,0,Si,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0
9.0,2.0,3.0,1,Si,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0
7.0,1.0,3.0,1,Si,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0
10.0,2.0,3.0,1,Si,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0
10.0,2.0,3.0,0,Si,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0
9.690721649484535,1.865979381443299,3.0,0,Si,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0
9.690721649484535,1.865979381443299,1.0,0,Si,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0
13.0,3.0,3.0,1,Si,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0
9.690721649484535,1.865979381443299,3.0,1,Si,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0
8.0,1.0,3.0,0,Si,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0
14.0,3.0,3.0,0,Si,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0
10.0,2.0,1.0,0,Si,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0
9.690721649484535,1.865979381443299,3.0,1,Si,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0
9.690721649484535,1.865979381443299,3.0,1,Si,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0
9.0,2.0,1.0,2,Si,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0
7.0,1.0,1.0,2,Si,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0
9.0,2.0,1.0,2,Si,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0
8.0,1.0,1.0,2,Si,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0
11.0,2.0,1.0,2,No,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0
8.0,1.0,1.0,2,No,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0
9.690721649484535,1.865979381443299,1.0,1,No,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0
9.690721649484535,1.865979381443299,1.0,1,No,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0
9.690721649484535,1.865979381443299,1.0,0,No,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0
9.690721649484535,1.865979381443299,3.0,0,No,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0
9.690721649484535,1.865979381443299,3.0,0,Si,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0
7.0,1.0,3.0,0,Si,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0
8.0,1.0,3.0,0,Si,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0
10.0,2.0,3.0,1,Si,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0
14.0,3.0,2.0,1,Si,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0
11.0,2.0,2.0,0,Si,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0
9.690721649484535,1.865979381443299,3.0,0,Si,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0
13.0,3.0,1.0,0,No,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0
8.0,1.0,3.0,0,Si,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0
10.0,2.0,2.0,0,Si,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0
11.0,2.0,3.0,1,Si,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0
8.0,1.0,3.0,1,Si,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0
9.0,2.0,3.0,1,Si,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0
14.0,3.0,3.0,1,Si,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0
13.0,3.0,3.0,0,Si,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1
9.690721649484535,1.865979381443299,1.0,0,No,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0
13.0,3.0,1.0,0,Si,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0
10.0,2.0,2.0,1,Si,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0
7.0,1.0,1.0,1,Si,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0
11.0,2.0,3.0,0,Si,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0
7.0,1.0,3.0,0,Si,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0
10.0,2.0,3.0,0,Si,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0
6.0,1.0,1.0,0,Si,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0
11.0,2.0,2.0,0,Si,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0
12.0,3.0,3.0,2,Si,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0
7.0,1.0,3.0,0,Si,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0
13.0,3.0,1.0,0,Si,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0
14.0,3.0,3.0,0,Si,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0
13.0,3.0,3.0,0,Si,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0
10.0,2.0,3.0,0,Si,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0
8.0,1.0,1.0,0,Si,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0
11.0,2.0,3.0,0,Si,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0
9.690721649484535,1.865979381443299,2.0,0,No,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0
9.690721649484535,1.865979381443299,1.0,0,No,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0
12.0,3.0,3.0,2,Si,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0
8.0,1.0,3.0,2,Si,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0
8.0,1.0,2.513888888888889,0,Si,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
8.0,1.0,3.0,1,Si,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0
11.0,2.0,3.0,1,Si,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0
9.690721649484535,1.865979381443299,3.0,0,No,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0
9.690721649484535,1.865979381443299,3.0,1,No,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0
13.0,3.0,3.0,0,Si,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0
9.690721649484535,1.865979381443299,1.0,0,No,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0
9.690721649484535,1.865979381443299,1.0,0,No,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0
9.690721649484535,1.865979381443299,3.0,1,No,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0
9.690721649484535,1.865979381443299,2.513888888888889,0,No,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0
9.690721649484535,1.865979381443299,2.0,0,No,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0
9.690721649484535,1.865979381443299,3.0,0,No,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0
9.690721649484535,1.865979381443299,2.0,2,No,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0
9.690721649484535,1.865979381443299,3.0,2,No,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0
9.690721649484535,1.865979381443299,3.0,2,No,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0
9.690721649484535,1.865979381443299,1.0,0,No,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0
9.690721649484535,1.865979381443299,1.0,1,No,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0
